time_s,LoPE,LaPE,VPE,LoPL_adjusted,LaPL_adjusted,VPL_adjusted
29.41199994,0.37276899,0.19466021,0.22600000,0.98625572,0.60154601,0.88174275
29.51200008,0.32727699,0.17329267,0.24900000,0.90915237,0.65096152,0.92687446
29.61199999,0.30538865,0.16376636,0.25200000,0.90929535,0.59790116,0.96361388
29.71200013,0.29179058,0.17312439,0.25300000,0.89375907,0.67642725,0.95062352
29.81200004,0.25930903,0.19113931,0.24700000,0.87750325,0.71400558,0.93550126
29.91199994,0.20571521,0.16920476,0.24000000,0.80009434,0.71712840,0.94143938
30.01200008,0.17175965,0.17610225,0.24700000,0.78129786,0.66268558,0.93358416
30.11199999,0.06798281,0.26313568,0.17600000,0.67648407,0.75784849,0.85024455
30.21200013,0.12311863,0.26314920,0.14100000,0.75028675,0.73748535,0.81410213
30.31200004,0.12927693,0.25014215,0.15700000,0.76080500,0.69112542,0.82478508
30.41199994,0.13541174,0.22894156,0.17400000,0.77427160,0.69430682,0.86405822
30.51200008,0.12178984,0.26107523,0.15500000,0.75110234,0.70008066,0.85185401
30.61199999,0.03861034,0.25550178,0.21500000,0.68232115,0.75356084,0.93189807
30.71200013,0.04795333,0.26078445,0.22200000,0.65531609,0.70840054,0.94127312
30.81200004,0.06344462,0.25946499,0.21800000,0.67246295,0.71372043,0.94989023
30.91199994,0.07614410,0.25895066,0.21900000,0.67647290,0.69607558,0.97366175
31.01200008,0.07285731,0.26571320,0.21400000,0.69713177,0.69716853,0.97794300
31.11199999,0.07027601,0.26638232,0.21100000,0.67237606,0.73496381,0.97726596
31.21200013,0.05984591,0.22958013,0.22200000,0.64505759,0.79824442,0.98289899
31.31200004,0.02697901,0.21897633,0.22800000,0.62881839,0.78555707,0.98125186
31.41199994,0.05215312,0.21440395,0.23790000,0.62334596,0.78213335,1.01078239
31.51200008,0.03172946,0.23759817,0.24700000,0.62339737,0.82112313,1.02713433
31.61299992,0.03608474,0.25370483,0.25200000,0.60241462,0.81869397,1.02596952
